Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Manchester City,38,29,6,3,99,26,73,93,86.1,26.9,59.3,1.60,52774,Kevin De Bruyne - 15,Ederson,
2,Liverpool,38,28,8,2,94,26,68,92,86.1,33.1,52.9,1.43,53367,Mohamed Salah - 23,Alisson,
3,Chelsea,38,21,11,6,76,33,43,74,64.8,34.9,29.9,0.81,36443,Mason Mount - 11,Edouard Mendy,
4,Tottenham,38,22,5,11,69,40,29,71,61.5,39.0,22.5,0.61,56523,Son Heung-min - 23,Hugo Lloris,
5,Arsenal,38,22,3,13,61,48,13,69,56.8,46.0,10.8,0.29,59665,Bukayo Saka - 11,Aaron Ramsdale,
6,Manchester Utd,38,16,10,12,57,57,0,58,54.0,54.1,-0.1,0.00,73150,Cristiano Ronaldo - 18,David de Gea,
7,West Ham,38,16,8,14,60,51,9,56,49.6,49.3,0.3,0.01,58370,Jarrod Bowen - 12,Łukasz Fabiański,
8,Leicester City,38,14,10,14,62,59,3,52,48.5,59.8,-11.3,-0.30,32493,Jamie Vardy - 15,Kasper Schmeichel,
9,Brighton,38,12,15,11,42,44,-2,51,44.4,45.2,-0.9,-0.02,30966,Leandro Trossard Neal Maupay - 8,Robert Sánchez,
10,Wolves,38,15,6,17,38,43,-5,51,34.9,57.1,-22.3,-0.60,30777,Raúl Jiménez - 6,José Sá,
11,Newcastle Utd,38,13,10,15,44,62,-18,49,38.5,54.0,-15.5,-0.42,51487,Callum Wilson - 8,Martin Dúbravka,
12,Crystal Palace,38,11,15,12,50,46,4,48,45.9,40.1,5.7,0.16,24541,Wilfried Zaha - 14,Vicente Guaita,
13,Brentford,38,13,7,18,48,56,-8,46,46.7,47.7,-1.0,-0.03,16916,Ivan Toney - 12,David Raya,
14,Aston Villa,38,13,6,19,52,54,-2,45,43.7,46.2,-2.5,-0.07,41681,Ollie Watkins - 11,Emiliano Martínez,
15,Southampton,38,9,13,16,43,67,-24,40,45.6,56.3,-10.7,-0.29,30134,James Ward-Prowse - 10,Fraser Forster,
16,Everton,38,11,6,21,43,66,-23,39,41.6,51.4,-9.8,-0.26,38446,Richarlison - 10,Jordan Pickford,
17,Leeds United,38,9,11,18,42,79,-37,38,45.8,69.0,-23.2,-0.63,36308,Raphael Dias Belloli - 11,Illan Meslier,
18,Burnley,38,7,14,17,34,53,-19,35,37.5,54.9,-17.4,-0.47,19163,Maxwel Cornet - 9,Nick Pope,Relegated
19,Watford,38,6,5,27,34,77,-43,23,37.8,64.2,-26.4,-0.71,20614,Emmanuel Dennis - 10,Ben Foster,Relegated
20,Norwich City,38,5,7,26,23,84,-61,22,33.0,73.3,-40.3,-1.09,26836,Teemu Pukki - 11,Tim Krul,Relegated
